model	percentile	io_type	io_size	latency
AFA	5	write	16.0	0.074952634047209629513834609973425043
AFA	6	write	32.0	0.111567444004763917169311152944792347
AFA	7	nsRead	16.0	0.193610604153555695405915670232850850
AFA	10	seqRead	8.0	0.029924451051592620573684595325713450
AFA	11	nsRead	128.0	0.623934782608695652173913043478260870
AFA	11	seqRead	64.0	0.022600000000000000000000000000000000
AFA	12	seqRead	4.0	0.010333333333333333333333333333333333
AFA	12	seqRead	8.0	0.038000000000000000000000000000000000
AFA	13	seqRead	32.0	0.045391696750902527075812274368231047
AFA	15	nsRead	512.0	1.567000000000000000000000000000000000
AFA	16	nsRead	512.0	1.608627450980392156862745098039215686
AFA	16	write	1.0	0.058257485029940119760479041916167665
AFA	17	write	256.0	0.464943775100401606425702811244979920
AFA	18	write	32.0	0.124442028985507246376811594202898551
AFA	19	nsRead	0.0	0.001083333333333333333333333333333333
AFA	19	nsRead	0.5	0.202951514380249427335199796385848816
AFA	19	seqRead	4.0	0.016500000000000000000000000000000000
AFA	19	seqRead	128.0	0.038218077364994255074684029107621601
AFA	21	write	1.0	0.060990322580645161290322580645161290
AFA	21	write	2.0	0.063884214069336923594749242679232582
AFA	23	nsRead	0.5	0.214333333333333333333333333333333333
AFA	23	write	32.0	0.128396327467482785003825554705432288
AFA	24	write	0.5	0.080178874092009685230024213075060533
AFA	25	nsRead	128.0	0.889445054945054945054945054945054945
AFA	26	nsRead	0.5	0.221868090452261306532663316582914573
AFA	27	seqRead	512.0	0.323029405691157642588692024945277330
AFA	28	write	0.0	0.000678750000000000000000000000000000
AFA	29	seqRead	8.0	0.108256502554575011611704598235020901
AFA	29	write	512.0	1.100154761904761904761904761904761905
AFA	30	seqRead	4.0	0.047356955380577427821522309711286089
AFA	30	write	0.0	0.000687500000000000000000000000000000
AFA	30	write	256.0	0.519293333333333333333333333333333333
AFA	31	write	0.0	0.000691250000000000000000000000000000
AFA	33	write	16.0	0.093496410256410256410256410256410256
AFA	35	nsRead	32.0	0.545500000000000000000000000000000000
AFA	38	nsRead	2.0	0.272400000000000000000000000000000000
AFA	39	nsRead	16.0	0.416684210526315789473684210526315789
AFA	39	write	8.0	0.078028037383177570093457943925233645
AFA	40	seqRead	8.0	0.167506666666666666666666666666666667
AFA	41	nsRead	4.0	0.299647583294228061942749882684185828
AFA	41	write	8.0	0.078992117397806580259222333000997009
AFA	42	nsRead	256.0	1.963111111111111111111111111111111111
AFA	43	seqRead	64.0	0.143301466594242259641499185225420967
AFA	44	seqRead	4.0	0.110156250000000000000000000000000000
AFA	45	seqRead	16.0	0.246941747572815533980582524271844660
AFA	45	write	4.0	0.070921600000000000000000000000000000
AFA	46	seqRead	32.0	0.259691516709511568123393316195372751
AFA	46	write	32.0	0.145035026269702276707530647985989492
AFA	47	seqRead	4.0	0.130121212121212121212121212121212121
AFA	48	nsRead	0.5	0.273816326530612244897959183673469388
AFA	49	nsRead	256.0	2.122727272727272727272727272727272727
AFA	51	seqRead	8.0	0.234689655172413793103448275862068966
AFA	51	seqRead	128.0	0.232894207619317377142047868573856394
AFA	53	nsRead	2.0	0.317700000000000000000000000000000000
AFA	54	nsRead	16.0	0.474916666666666666666666666666666667
AFA	54	seqRead	128.0	0.268933720930232558139534883720930233
AFA	56	nsRead	8.0	0.402625961538461538461538461538461538
AFA	56	seqRead	128.0	0.295900000000000000000000000000000000
AFA	56	write	2.0	0.080745657568238213399503722084367246
AFA	56	write	512.0	1.397875000000000000000000000000000000
AFA	60	nsRead	64.0	0.840600000000000000000000000000000000
AFA	62	seqRead	4.0	0.262500000000000000000000000000000000
AFA	62	seqRead	128.0	0.394877906976744186046511627906976744
AFA	65	nsRead	1.0	0.345853432282003710575139146567717996
AFA	65	seqRead	16.0	0.362000000000000000000000000000000000
AFA	66	write	4.0	0.080767177242888402625820568927789934
AFA	67	write	2.0	0.086986243386243386243386243386243386
AFA	71	nsRead	1.0	0.370109970674486803519061583577712610
AFA	71	nsRead	8.0	0.467456454388984509466437177280550775
AFA	71	write	1.0	0.087691470054446460980036297640653358
AFA	72	nsRead	2.0	0.390316159250585480093676814988290398
AFA	75	write	128.0	0.390906329113924050632911392405063291
AFA	77	nsRead	32.0	0.796620386643233743409490333919156415
AFA	77	write	1.0	0.092265795206971677559912854030501089
AFA	81	seqRead	256.0	2.241652884615384615384615384615384615
AFA	82	seqRead	256.0	2.350400000000000000000000000000000000
AFA	83	nsRead	0.5	0.381756944444444444444444444444444444
AFA	83	seqRead	32.0	1.024296296296296296296296296296296296
AFA	83	seqRead	128.0	1.186509549795361527967257844474761255
AFA	85	nsRead	256.0	3.408274261603375527426160337552742616
AFA	87	seqRead	128.0	1.574178072491477243988548653050489110
AFA	87	write	16.0	0.135847615683504062168844931119745673
AFA	88	nsRead	1.0	0.497166666666666666666666666666666667
AFA	88	write	2.0	0.106184873949579831932773109243697479
AFA	89	nsRead	32.0	1.008155067405734619859029631150345583
AFA	91	nsRead	0.0	0.001750000000000000000000000000000000
AFA	91	seqRead	4.0	2.021612903225806451612903225806451613
AFA	93	nsRead	512.0	8.173176470588235294117647058823529412
AFA	94	nsRead	16.0	1.008000000000000000000000000000000000
AFA	94	seqRead	64.0	2.312181818181818181818181818181818182
AFA	95	write	0.5	0.226856353591160220994475138121546961
AFA	96	seqRead	128.0	4.449388992953349388992953349388992953
AFA	96	seqRead	512.0	9.089430232558139534883720930232558140
AFA	99	nsRead	8.0	2.945530232558139534883720930232558140
HFA	1	seqRead	512.0	0.024729559748427672955974842767295597
HFA	1	write	32.0	0.112028449066992964209238299174059345
HFA	2	nsRead	64.0	0.113953488372093023255813953488372093
HFA	3	seqRead	32.0	0.008666666666666666666666666666666667
HFA	3	write	128.0	0.210097560975609756097560975609756098
HFA	4	seqRead	512.0	0.150340488771466314398943196829590489
HFA	5	seqRead	512.0	0.193928571428571428571428571428571429
HFA	7	write	1.0	0.069928701180744777475022706630336058
HFA	9	nsRead	512.0	0.382826923076923076923076923076923077
HFA	11	nsRead	512.0	0.407833333333333333333333333333333333
HFA	11	write	512.0	0.847005154639175257731958762886597938
HFA	14	write	64.0	0.187200000000000000000000000000000000
HFA	15	nsRead	4.0	0.110568660847349371939535873962103470
HFA	18	nsRead	0.5	0.076264150943396226415094339622641509
HFA	19	nsRead	2.0	0.080144164759725400457665903890160183
HFA	19	write	64.0	0.196074747474747474747474747474747475
HFA	21	nsRead	256.0	1.100666666666666666666666666666666667
HFA	24	nsRead	2.0	0.084861842105263157894736842105263158
HFA	25	nsRead	64.0	0.271000000000000000000000000000000000
HFA	25	seqRead	16.0	0.215666666666666666666666666666666667
HFA	25	write	32.0	0.155676545632973503434739941118743867
HFA	26	write	1.0	0.082802469135802469135802469135802469
HFA	28	nsRead	16.0	0.212041106719367588932806324110671937
HFA	30	seqRead	16.0	0.273034190715181932245922208281053952
HFA	34	nsRead	32.0	0.662333333333333333333333333333333333
HFA	34	nsRead	64.0	0.447000000000000000000000000000000000
HFA	34	write	8.0	0.098428963414634146341463414634146341
HFA	35	nsRead	128.0	0.778201342281879194630872483221476510
HFA	37	seqRead	4.0	0.076800000000000000000000000000000000
HFA	37	write	8.0	0.100127358490566037735849056603773585
HFA	38	nsRead	32.0	0.718219612581656156779821017256353132
HFA	38	write	512.0	1.232000000000000000000000000000000000
HFA	39	nsRead	64.0	0.574739130434782608695652173913043478
HFA	39	nsRead	512.0	2.850176022453889334402566158781074579
HFA	39	write	0.5	0.125644933920704845814977973568281938
HFA	40	nsRead	32.0	0.748142131979695431472081218274111675
HFA	40	nsRead	256.0	2.413894339622641509433962264150943396
HFA	41	seqRead	4.0	0.104714285714285714285714285714285714
HFA	41	write	32.0	0.173444535255219555687643955717363846
HFA	44	nsRead	8.0	0.332515789473684210526315789473684211
HFA	48	nsRead	32.0	0.889785321100917431192660550458715596
HFA	52	nsRead	0.5	0.115632183908045977011494252873563218
HFA	52	write	4.0	0.092221668052091992241618176780271543
HFA	53	nsRead	0.0	0.003229166666666666666666666666666667
HFA	53	write	32.0	0.191757142857142857142857142857142857
HFA	55	write	32.0	0.195375000000000000000000000000000000
HFA	56	seqRead	16.0	0.492913043478260869565217391304347826
HFA	57	seqRead	64.0	0.726026540710751237067026540710751237
HFA	58	seqRead	4.0	0.348000000000000000000000000000000000
HFA	60	write	8.0	0.115281466798810703666997026759167493
HFA	63	seqRead	8.0	0.768836363636363636363636363636363636
HFA	63	write	128.0	0.467685073810825587752870420995079278
HFA	64	nsRead	1.0	0.270279015240328253223915592028135991
HFA	65	nsRead	64.0	1.299154793315743183817062445030782762
HFA	66	nsRead	64.0	1.338660998937300743889479277364505845
HFA	67	seqRead	512.0	7.479750000000000000000000000000000000
HFA	67	write	16.0	0.151666666666666666666666666666666667
HFA	67	write	512.0	1.700961175236096537250786988457502623
HFA	68	nsRead	32.0	1.499588235294117647058823529411764706
HFA	69	write	1.0	0.112928571428571428571428571428571429
HFA	70	nsRead	4.0	0.560875000000000000000000000000000000
HFA	70	nsRead	64.0	1.519854838709677419354838709677419355
HFA	70	write	32.0	0.227539087947882736156351791530944625
HFA	70	write	128.0	0.512957922446932976767507939160956042
HFA	71	seqRead	16.0	1.099347826086956521739130434782608696
HFA	73	seqRead	512.0	9.573782472324723247232472324723247232
HFA	74	nsRead	2.0	0.342000000000000000000000000000000000
HFA	74	nsRead	512.0	9.375750000000000000000000000000000000
HFA	74	seqRead	64.0	1.793724921935987509758001561280249805
HFA	74	write	16.0	0.168750000000000000000000000000000000
HFA	75	nsRead	512.0	9.755600000000000000000000000000000000
HFA	78	write	8.0	0.168353448275862068965517241379310345
HFA	79	nsRead	1.0	0.439333333333333333333333333333333333
HFA	79	seqRead	128.0	3.535314200777498284930253830322433112
HFA	81	nsRead	0.0	0.003666666666666666666666666666666667
HFA	82	seqRead	512.0	14.459375000000000000000000000000000000
HFA	85	nsRead	8.0	1.154424796747967479674796747967479675
HFA	85	write	256.0	1.065581395348837209302325581395348837
HFA	89	seqRead	32.0	6.901160098522167487684729064039408867
HFA	89	seqRead	64.0	5.596127659574468085106382978723404255
HFA	89	write	256.0	1.220100000000000000000000000000000000
HFA	90	nsRead	1.0	0.877075949367088607594936708860759494
HFA	91	nsRead	64.0	4.304500000000000000000000000000000000
HFA	91	nsRead	128.0	7.389054612937433722163308589607635207
HFA	92	write	64.0	0.879925000000000000000000000000000000
