model	io_type	io_size	percentile	latency	mints	maxts	cnt
AFA	nsRead	128.0	66	1.441014925373134328358208955223880597	2022-02-26 00:00:00	2022-03-07 23:59:00	689712
AFA	nsRead	128.0	67	1.457603351955307262569832402234636872	2022-02-26 00:00:00	2022-03-07 23:59:00	689712
AFA	nsRead	128.0	68	1.474593001409112259276655706904650070	2022-02-26 00:00:00	2022-03-07 23:59:00	689712
AFA	nsRead	128.0	69	1.492125677506775067750677506775067751	2022-02-26 00:00:00	2022-03-07 23:59:00	689712
AFA	nsRead	128.0	70	1.510200000000000000000000000000000000	2022-02-26 00:00:00	2022-03-07 23:59:00	689712
AFA	nsRead	128.0	71	1.528894039735099337748344370860927152	2022-02-26 00:00:00	2022-03-07 23:59:00	689712
AFA	nsRead	128.0	72	1.548260869565217391304347826086956522	2022-02-26 00:00:00	2022-03-07 23:59:00	689712
AFA	nsRead	128.0	73	1.568365807668133249528598365807668133	2022-02-26 00:00:00	2022-03-07 23:59:00	689712
AFA	nsRead	128.0	74	1.589466666666666666666666666666666667	2022-02-26 00:00:00	2022-03-07 23:59:00	689712
AFA	nsRead	128.0	75	1.611451428571428571428571428571428571	2022-02-26 00:00:00	2022-03-07 23:59:00	689712
AFA	nsRead	128.0	76	1.634575757575757575757575757575757576	2022-02-26 00:00:00	2022-03-07 23:59:00	689712
AFA	nsRead	128.0	77	1.658935433070866141732283464566929134	2022-02-26 00:00:00	2022-03-07 23:59:00	689712
AFA	nsRead	128.0	78	1.684659251808580602731246856744941777	2022-02-26 00:00:00	2022-03-07 23:59:00	689712
AFA	nsRead	128.0	79	1.712000000000000000000000000000000000	2022-02-26 00:00:00	2022-03-07 23:59:00	689712
AFA	nsRead	128.0	80	1.741127331887201735357917570498915401	2022-02-26 00:00:00	2022-03-07 23:59:00	689712
AFA	nsRead	128.0	81	1.772333333333333333333333333333333333	2022-02-26 00:00:00	2022-03-07 23:59:00	689712
AFA	nsRead	128.0	82	1.805708333333333333333333333333333333	2022-02-26 00:00:00	2022-03-07 23:59:00	689712
AFA	nsRead	128.0	83	1.841717213114754098360655737704918033	2022-02-26 00:00:00	2022-03-07 23:59:00	689712
AFA	nsRead	128.0	84	1.880809116809116809116809116809116809	2022-02-26 00:00:00	2022-03-07 23:59:00	689712
AFA	nsRead	128.0	85	1.923621621621621621621621621621621622	2022-02-26 00:00:00	2022-03-07 23:59:00	689712
AFA	nsRead	128.0	86	1.970851798561151079136690647482014388	2022-02-26 00:00:00	2022-03-07 23:59:00	689712
AFA	nsRead	128.0	87	2.023000000000000000000000000000000000	2022-02-26 00:00:00	2022-03-07 23:59:00	689712
AFA	nsRead	128.0	88	2.081640856672158154859967051070840198	2022-02-26 00:00:00	2022-03-07 23:59:00	689712
